Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Financial Services,2,andhra-pradesh,68952114.81374599,225621.0,2018
Others,2,andhra-pradesh,328092346.575651,322063.0,2018
Peer-to-peer payments,3,andhra-pradesh,32738630444.66872,16129591.0,2018
Recharge & bill payments,3,andhra-pradesh,1949098146.8941922,7542005.0,2018
Merchant payments,3,andhra-pradesh,685277254.5076212,1225416.0,2018
Financial Services,3,andhra-pradesh,60790077.57437308,380324.0,2018
Others,3,andhra-pradesh,284248675.5700202,348725.0,2018
Peer-to-peer payments,4,andhra-pradesh,47011639726.136086,17580086.0,2018
Recharge & bill payments,4,andhra-pradesh,2418164314.470957,9767083.0,2018
Merchant payments,4,andhra-pradesh,1671585888.5682561,2622131.0,2018
Financial Services,4,andhra-pradesh,57178116.40322068,400837.0,2018
Others,4,andhra-pradesh,315211361.2624941,389411.0,2018
Peer-to-peer payments,1,andhra-pradesh,77524329742.2595,37420988.0,2019
Recharge & bill payments,1,andhra-pradesh,3480641602.3771367,14022264.0,2019
Merchant payments,1,andhra-pradesh,2423536770.370634,5043682.0,2019
Financial Services,1,andhra-pradesh,47150177.52982048,416325.0,2019
Others,1,andhra-pradesh,284937624.53930193,361263.0,2019
Peer-to-peer payments,2,andhra-pradesh,103924649232.4702,32494402.0,2019
Recharge & bill payments,2,andhra-pradesh,4708345387.910109,14093964.0,2019
Merchant payments,2,andhra-pradesh,4613405202.681959,9226537.0,2019
Financial Services,2,andhra-pradesh,26626696.77104253,145310.0,2019
Others,2,andhra-pradesh,361492238.3966455,448802.0,2019
Peer-to-peer payments,3,andhra-pradesh,124338645329.5153,39023491.0,2019
Recharge & bill payments,3,andhra-pradesh,6893984676.5989065,20147629.0,2019
Merchant payments,3,andhra-pradesh,7887394038.066369,16581787.0,2019
Financial Services,3,andhra-pradesh,29778183.02708044,122270.0,2019
Others,3,andhra-pradesh,298142027.5862577,413437.0,2019
Peer-to-peer payments,4,andhra-pradesh,178893550050.6875,57181511.0,2019
Merchant payments,4,andhra-pradesh,13476303367.50486,25122370.0,2019
Recharge & bill payments,4,andhra-pradesh,8335168605.691999,24469888.0,2019
Financial Services,4,andhra-pradesh,26796571.745749153,105662.0,2019
Others,4,andhra-pradesh,216496893.1610287,338672.0,2019
Peer-to-peer payments,1,andhra-pradesh,223088554055.0475,65452143.0,2020
Merchant payments,1,andhra-pradesh,18603161784.49699,31408022.0,2020
Recharge & bill payments,1,andhra-pradesh,10813530777.97353,30449644.0,2020
Financial Services,1,andhra-pradesh,43739133.169823855,75238.0,2020
Others,1,andhra-pradesh,188228538.3748976,292310.0,2020
Peer-to-peer payments,2,andhra-pradesh,262731724130.7907,73609921.0,2020
Recharge & bill payments,2,andhra-pradesh,16991006436.573462,41013987.0,2020
Merchant payments,2,andhra-pradesh,22625596525.442688,29976765.0,2020
Financial Services,2,andhra-pradesh,145274999.1567963,140941.0,2020
Others,2,andhra-pradesh,90087654.60009979,176241.0,2020
Peer-to-peer payments,3,andhra-pradesh,406461788252.3205,106791894.0,2020
Merchant payments,3,andhra-pradesh,40739580213.86052,54055557.0,2020
Recharge & bill payments,3,andhra-pradesh,19475104674.82717,43500067.0,2020
Financial Services,3,andhra-pradesh,256074924.7187529,243088.0,2020
Others,3,andhra-pradesh,151582519.1813668,312329.0,2020
Peer-to-peer payments,4,andhra-pradesh,566639138543.7709,152003791.0,2020
Merchant payments,4,andhra-pradesh,66654048149.951675,86581460.0,2020
Recharge & bill payments,4,andhra-pradesh,20936337211.55774,46810304.0,2020
Financial Services,4,andhra-pradesh,305168772.45601684,265470.0,2020
Others,4,andhra-pradesh,306853355.594738,457527.0,2020
Peer-to-peer payments,1,andhra-pradesh,580542193013.0018,149313738.0,2021
Merchant payments,1,andhra-pradesh,70813192713.43477,97920281.0,2021
Recharge & bill payments,1,andhra-pradesh,20546424964.144817,41940689.0,2021
Financial Services,1,andhra-pradesh,270313028.4845201,225355.0,2021
Others,1,andhra-pradesh,272546457.5502677,347907.0,2021
Peer-to-peer payments,2,andhra-pradesh,737004484057.439,189614879.0,2021
Merchant payments,2,andhra-pradesh,88512429436.91249,112875274.0,2021
Recharge & bill payments,2,andhra-pradesh,24646800345.106968,49626902.0,2021
Financial Services,2,andhra-pradesh,265483044.4012466,243237.0,2021
Others,2,andhra-pradesh,308302224.3856007,406842.0,2021
Peer-to-peer payments,3,andhra-pradesh,837841124664.307,221280317.0,2021
Merchant payments,3,andhra-pradesh,118164377968.1675,158290953.0,2021
Recharge & bill payments,3,andhra-pradesh,27511344958.24361,51702350.0,2021
Financial Services,3,andhra-pradesh,297239697.8307386,211171.0,2021
Others,3,andhra-pradesh,403948275.5675607,547759.0,2021
Peer-to-peer payments,4,andhra-pradesh,971269765249.1283,262006450.0,2021
Merchant payments,4,andhra-pradesh,152883933596.5386,207538904.0,2021
Recharge & bill payments,4,andhra-pradesh,31232784713.98579,51762842.0,2021
Financial Services,4,andhra-pradesh,332740108.6635881,243951.0,2021
Others,4,andhra-pradesh,545223415.6638832,701856.0,2021
Peer-to-peer payments,1,andhra-pradesh,1089629182596.4779,288488560.0,2022
Merchant payments,1,andhra-pradesh,169419685917.19562,242031836.0,2022
Recharge & bill payments,1,andhra-pradesh,34473036841.83001,51224170.0,2022
Financial Services,1,andhra-pradesh,324358965.1185906,231651.0,2022
Others,1,andhra-pradesh,474382234.25397474,627694.0,2022
Peer-to-peer payments,2,andhra-pradesh,1231408926513.711,321362337.0,2022
Merchant payments,2,andhra-pradesh,205433660654.20892,292530048.0,2022
Recharge & bill payments,2,andhra-pradesh,42408541939.06145,56606969.0,2022
Financial Services,2,andhra-pradesh,245783011.0445526,192751.0,2022
Others,2,andhra-pradesh,357036084.9071137,441925.0,2022
Peer-to-peer payments,3,andhra-pradesh,1140164525892.739,298804000.0,2022
Merchant payments,3,andhra-pradesh,202910820650.0824,291033653.0,2022
Recharge & bill payments,3,andhra-pradesh,41438764826.203224,52467708.0,2022
Financial Services,3,andhra-pradesh,239347241.5465504,187190.0,2022
Others,3,andhra-pradesh,323951101.5715289,362484.0,2022
Merchant payments,4,andhra-pradesh,211898851397.0984,321632104.0,2022
Peer-to-peer payments,4,andhra-pradesh,1170249585983.011,315734006.0,2022
Recharge & bill payments,4,andhra-pradesh,41986837706.47902,52098850.0,2022
Financial Services,4,andhra-pradesh,250596592.06465042,206459.0,2022
Others,4,andhra-pradesh,339211363.0027188,345658.0,2022
Recharge & bill payments,1,arunachal-pradesh,5184132.514934338,28729.0,2018
Peer-to-peer payments,1,arunachal-pradesh,82889682.72418305,13320.0,2018
Merchant payments,1,arunachal-pradesh,2420374.1905855755,1042.0,2018
Financial Services,1,arunachal-pradesh,58893.76201533088,416.0,2018
Others,1,arunachal-pradesh,1834252.8176908877,1990.0,2018
Recharge & bill payments,2,arunachal-pradesh,10468878.53710718,50700.0,2018
Peer-to-peer payments,2,arunachal-pradesh,181576281.1946475,26477.0,2018
Merchant payments,2,arunachal-pradesh,4718953.439561011,2378.0,2018
Financial Services,2,arunachal-pradesh,363761.80159549194,559.0,2018
Others,2,arunachal-pradesh,1842317.3691352482,2043.0,2018
Recharge & bill payments,3,arunachal-pradesh,15997565.906016491,74122.0,2018
Peer-to-peer payments,3,arunachal-pradesh,308106303.4534257,49740.0,2018
Merchant payments,3,arunachal-pradesh,5505694.567913429,4738.0,2018
Financial Services,3,arunachal-pradesh,72133.845254878,507.0,2018
Others,3,arunachal-pradesh,2044708.9687807972,2039.0,2018
Recharge & bill payments,4,arunachal-pradesh,20662691.88231327,97751.0,2018
Peer-to-peer payments,4,arunachal-pradesh,468831493.23280364,68169.0,2018
Merchant payments,4,arunachal-pradesh,11998974.1040326,7726.0,2018
Financial Services,4,arunachal-pradesh,100597.90379906222,561.0,2018
Others,4,arunachal-pradesh,2446271.9688117937,2222.0,2018
Recharge & bill payments,1,arunachal-pradesh,26796894.99823331,121303.0,2019
Peer-to-peer payments,1,arunachal-pradesh,568554821.4456317,93494.0,2019
Merchant payments,1,arunachal-pradesh,11727218.401334241,9214.0,2019
Financial Services,1,arunachal-pradesh,140622.87093631705,256.0,2019
Others,1,arunachal-pradesh,2730548.5978140826,2239.0,2019
Recharge & bill payments,2,arunachal-pradesh,30420803.41271234,131988.0,2019
Peer-to-peer payments,2,arunachal-pradesh,704237943.4054435,106527.0,2019
Merchant payments,2,arunachal-pradesh,13955724.13071291,16828.0,2019
Financial Services,2,arunachal-pradesh,160660.8821362781,267.0,2019
Others,2,arunachal-pradesh,3880742.524023137,3046.0,2019
Recharge & bill payments,3,arunachal-pradesh,50946104.94289842,216228.0,2019
Peer-to-peer payments,3,arunachal-pradesh,841037395.2474606,133484.0,2019
Merchant payments,3,arunachal-pradesh,17178248.07427002,16900.0,2019
Financial Services,3,arunachal-pradesh,64089.11350267195,864.0,2019
Others,3,arunachal-pradesh,3419197.4177385764,2758.0,2019
Recharge & bill payments,4,arunachal-pradesh,63516906.09060433,259183.0,2019
Peer-to-peer payments,4,arunachal-pradesh,1100137447.934045,177833.0,2019
Merchant payments,4,arunachal-pradesh,23192271.69157681,19769.0,2019
Financial Services,4,arunachal-pradesh,305379.7987782319,314.0,2019
Others,4,arunachal-pradesh,3421174.01227797,2376.0,2019
Recharge & bill payments,1,arunachal-pradesh,86011654.77474582,329834.0,2020
Peer-to-peer payments,1,arunachal-pradesh,1263912288.406636,203429.0,2020
Merchant payments,1,arunachal-pradesh,28553052.13391879,31181.0,2020
Financial Services,1,arunachal-pradesh,337812.94816169393,470.0,2020
Others,1,arunachal-pradesh,2943873.0666838237,2261.0,2020
Recharge & bill payments,2,arunachal-pradesh,145198528.2296113,522495.0,2020
Peer-to-peer payments,2,arunachal-pradesh,1630654426.044183,247861.0,2020
Merchant payments,2,arunachal-pradesh,46446966.61244751,35169.0,2020
Financial Services,2,arunachal-pradesh,2655507.6964110374,1310.0,2020
Others,2,arunachal-pradesh,1761404.4023099935,1939.0,2020
Recharge & bill payments,3,arunachal-pradesh,153463816.2118439,514907.0,2020
Peer-to-peer payments,3,arunachal-pradesh,2361603431.37578,370418.0,2020
Merchant payments,3,arunachal-pradesh,88145178.69272713,72736.0,2020
Financial Services,3,arunachal-pradesh,4030599.9171272423,1761.0,2020
Others,3,arunachal-pradesh,2695539.3607389224,3005.0,2020
Peer-to-peer payments,4,arunachal-pradesh,3254744938.410562,522019.0,2020
Recharge & bill payments,4,arunachal-pradesh,152389181.2174306,513895.0,2020
Merchant payments,4,arunachal-pradesh,156682926.023846,167387.0,2020
Financial Services,4,arunachal-pradesh,2391651.8783250954,1749.0,2020
Others,4,arunachal-pradesh,4055324.315454754,4079.0,2020
Peer-to-peer payments,1,arunachal-pradesh,3460488558.9436502,566209.0,2021
Recharge & bill payments,1,arunachal-pradesh,142358376.9003836,450649.0,2021
Merchant payments,1,arunachal-pradesh,204958020.08914977,155966.0,2021
Financial Services,1,arunachal-pradesh,2672460.4740365944,1558.0,2021
Others,1,arunachal-pradesh,3301662.6094231335,3074.0,2021
Peer-to-peer payments,2,arunachal-pradesh,4000960152.0755486,762946.0,2021
Recharge & bill payments,2,arunachal-pradesh,165579844.2510589,556680.0,2021
Merchant payments,2,arunachal-pradesh,283709438.5363142,243375.0,2021
Financial Services,2,arunachal-pradesh,2761076.7934988844,1582.0,2021
Others,2,arunachal-pradesh,3415105.3379601175,3755.0,2021
Peer-to-peer payments,3,arunachal-pradesh,5033603845.032885,986088.0,2021
Recharge & bill payments,3,arunachal-pradesh,187390578.30403772,600102.0,2021
Merchant payments,3,arunachal-pradesh,449869060.7842621,314658.0,2021
Financial Services,3,arunachal-pradesh,3348547.8272713376,1934.0,2021
Others,3,arunachal-pradesh,3912143.3503634185,4185.0,2021
Peer-to-peer payments,4,arunachal-pradesh,6022733378.120082,1227616.0,2021
Recharge & bill payments,4,arunachal-pradesh,207784816.33218512,633248.0,2021
Merchant payments,4,arunachal-pradesh,704195694.9939187,521447.0,2021
Financial Services,4,arunachal-pradesh,3933557.2795471298,2386.0,2021
Others,4,arunachal-pradesh,4862905.885615055,5901.0,2021
Peer-to-peer payments,1,arunachal-pradesh,6670641250.459451,1403584.0,2022
Merchant payments,1,arunachal-pradesh,917155358.7177179,720803.0,2022
Recharge & bill payments,1,arunachal-pradesh,231933129.00412327,670576.0,2022
Financial Services,1,arunachal-pradesh,3359625.792926075,3053.0,2022
Others,1,arunachal-pradesh,5002264.113148138,6052.0,2022
Peer-to-peer payments,2,arunachal-pradesh,7627061474.687716,1751568.0,2022
Merchant payments,2,arunachal-pradesh,1255513517.363942,1108353.0,2022
Recharge & bill payments,2,arunachal-pradesh,241162643.1948015,688770.0,2022
Financial Services,2,arunachal-pradesh,4063469.0998270046,2466.0,2022
Others,2,arunachal-pradesh,3864269.879579009,5768.0,2022
Peer-to-peer payments,3,arunachal-pradesh,7365427284.274203,1967086.0,2022
Merchant payments,3,arunachal-pradesh,1413247143.488991,1316326.0,2022
Recharge & bill payments,3,arunachal-pradesh,238448083.8077975,649322.0,2022
Financial Services,3,arunachal-pradesh,4763324.776043448,1997.0,2022
Others,3,arunachal-pradesh,3224948.7015704075,4687.0,2022
Peer-to-peer payments,4,arunachal-pradesh,7768088687.67791,2251135.0,2022
Merchant payments,4,arunachal-pradesh,1669602212.917463,1704968.0,2022
Recharge & bill payments,4,arunachal-pradesh,239412553.6121468,669151.0,2022
Financial Services,4,arunachal-pradesh,3785469.3993366556,2617.0,2022
