Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Recharge & bill payments,3,ladakh,58750081.815117195,121856.0,2021
Financial Services,3,ladakh,1911625.5446910746,900.0,2021
Others,3,ladakh,2751201.9371823343,2204.0,2021
Peer-to-peer payments,4,ladakh,1804428550.1884868,337120.0,2021
Merchant payments,4,ladakh,284786365.9296017,169110.0,2021
Recharge & bill payments,4,ladakh,58403893.47253243,120607.0,2021
Financial Services,4,ladakh,3068708.947120995,912.0,2021
Others,4,ladakh,2847620.2425241945,2438.0,2021
Peer-to-peer payments,1,ladakh,1685241980.6641831,343041.0,2022
Merchant payments,1,ladakh,279354508.988595,167100.0,2022
Recharge & bill payments,1,ladakh,56203999.28920926,116486.0,2022
Financial Services,1,ladakh,2023327.6779848374,1247.0,2022
Others,1,ladakh,2217102.222236882,2141.0,2022
Peer-to-peer payments,2,ladakh,2941624382.277109,608870.0,2022
Merchant payments,2,ladakh,508439376.6809197,346146.0,2022
Recharge & bill payments,2,ladakh,88531677.99442025,158996.0,2022
Financial Services,2,ladakh,2487560.1853386,1585.0,2022
Others,2,ladakh,2235180.8584825676,2476.0,2022
Peer-to-peer payments,3,ladakh,2955729492.498551,659896.0,2022
Merchant payments,3,ladakh,551472983.879604,367022.0,2022
Recharge & bill payments,3,ladakh,94288872.34747364,160269.0,2022
Financial Services,3,ladakh,1815866.8961950848,1555.0,2022
Others,3,ladakh,1892134.7520804727,2116.0,2022
Peer-to-peer payments,4,ladakh,2350047971.603546,559259.0,2022
Merchant payments,4,ladakh,462189599.2843026,382456.0,2022
Recharge & bill payments,4,ladakh,79767790.98577228,138793.0,2022
Financial Services,4,ladakh,1198715.2123450316,1248.0,2022
Others,4,ladakh,1273495.592982805,1616.0,2022
Peer-to-peer payments,1,lakshadweep,1860278.2784597143,423.0,2018
Recharge & bill payments,1,lakshadweep,61432.04938505074,342.0,2018
Merchant payments,1,lakshadweep,590.7505138175776,5.0,2018
Others,1,lakshadweep,6310.102519157715,8.0,2018
Peer-to-peer payments,2,lakshadweep,5757123.079919379,1315.0,2018
Recharge & bill payments,2,lakshadweep,353202.7988510042,750.0,2018
Merchant payments,2,lakshadweep,64568.47789279556,42.0,2018
Financial Services,2,lakshadweep,9134.413223158994,6.0,2018
Others,2,lakshadweep,3780.7695141997474,19.0,2018
Peer-to-peer payments,3,lakshadweep,3926048.74488305,841.0,2018
Recharge & bill payments,3,lakshadweep,300978.32420203416,760.0,2018
Merchant payments,3,lakshadweep,94046.43333034206,87.0,2018
Others,3,lakshadweep,17958.809570422687,15.0,2018
Recharge & bill payments,4,lakshadweep,351201.0879000404,792.0,2018
Peer-to-peer payments,4,lakshadweep,3841230.430870924,689.0,2018
Merchant payments,4,lakshadweep,262079.85573632165,144.0,2018
Financial Services,4,lakshadweep,389.8932323919954,6.0,2018
Others,4,lakshadweep,8312.430483153179,11.0,2018
Peer-to-peer payments,1,lakshadweep,8221402.368536929,1183.0,2019
Recharge & bill payments,1,lakshadweep,353870.52398354514,1173.0,2019
Merchant payments,1,lakshadweep,183062.1455975621,113.0,2019
Others,1,lakshadweep,27795.441220958,12.0,2019
Recharge & bill payments,2,lakshadweep,436735.1684614296,1448.0,2019
Peer-to-peer payments,2,lakshadweep,8602732.117788196,1318.0,2019
Merchant payments,2,lakshadweep,190716.5411561734,137.0,2019
Others,2,lakshadweep,12340.30958308919,23.0,2019
Recharge & bill payments,3,lakshadweep,503049.2411913635,1528.0,2019
Peer-to-peer payments,3,lakshadweep,8923273.862948446,1455.0,2019
Merchant payments,3,lakshadweep,215159.68119447335,111.0,2019
Others,3,lakshadweep,10278.678434187355,10.0,2019
Recharge & bill payments,4,lakshadweep,618155.9004644766,1801.0,2019
Peer-to-peer payments,4,lakshadweep,10383413.24667049,1753.0,2019
Merchant payments,4,lakshadweep,211413.62244321496,188.0,2019
Financial Services,4,lakshadweep,34.39721181625656,2.0,2019
Others,4,lakshadweep,56896.23813384895,21.0,2019
Recharge & bill payments,1,lakshadweep,789255.2646123999,2684.0,2020
Peer-to-peer payments,1,lakshadweep,12463327.26183683,2068.0,2020
Merchant payments,1,lakshadweep,216594.03077193064,387.0,2020
Others,1,lakshadweep,33192.017283045374,12.0,2020
Recharge & bill payments,2,lakshadweep,1061694.138574572,4497.0,2020
Peer-to-peer payments,2,lakshadweep,14718605.188911092,2176.0,2020
Merchant payments,2,lakshadweep,971609.4583537823,472.0,2020
Financial Services,2,lakshadweep,158593.59701229632,60.0,2020
Others,2,lakshadweep,32419.703092655054,15.0,2020
Recharge & bill payments,3,lakshadweep,1186947.553816269,4696.0,2020
Peer-to-peer payments,3,lakshadweep,19189391.61874283,2946.0,2020
Merchant payments,3,lakshadweep,842981.169451366,903.0,2020
Financial Services,3,lakshadweep,45457.50970027798,27.0,2020
Others,3,lakshadweep,42055.45694608544,17.0,2020
Recharge & bill payments,4,lakshadweep,1499298.1127799235,5187.0,2020
Peer-to-peer payments,4,lakshadweep,27284123.245665,4741.0,2020
Merchant payments,4,lakshadweep,1227101.6378793938,1668.0,2020
Financial Services,4,lakshadweep,13968.7539965527,22.0,2020
Others,4,lakshadweep,86826.16675951776,32.0,2020
Peer-to-peer payments,1,lakshadweep,24823715.01742214,3942.0,2021
Recharge & bill payments,1,lakshadweep,1070209.4218526704,3541.0,2021
Merchant payments,1,lakshadweep,1040213.7953898906,1537.0,2021
Financial Services,1,lakshadweep,15929.095105497145,19.0,2021
Others,1,lakshadweep,92715.5843109472,46.0,2021
Recharge & bill payments,2,lakshadweep,1745295.828077295,5499.0,2021
Peer-to-peer payments,2,lakshadweep,23996417.49366483,4069.0,2021
Merchant payments,2,lakshadweep,1525331.9146529401,1743.0,2021
Financial Services,2,lakshadweep,15052.018496008179,29.0,2021
Others,2,lakshadweep,101366.40306045809,44.0,2021
Peer-to-peer payments,3,lakshadweep,34142107.52016985,5687.0,2021
Recharge & bill payments,3,lakshadweep,1700287.4734963956,5153.0,2021
Merchant payments,3,lakshadweep,2750367.063028222,2450.0,2021
Financial Services,3,lakshadweep,137227.35390598275,48.0,2021
Others,3,lakshadweep,73174.28816768769,32.0,2021
Peer-to-peer payments,4,lakshadweep,44696668.86120766,7154.0,2021
Recharge & bill payments,4,lakshadweep,2093901.2918026838,5355.0,2021
Merchant payments,4,lakshadweep,4071239.087436496,2872.0,2021
Financial Services,4,lakshadweep,19994.541946360278,27.0,2021
Others,4,lakshadweep,116381.74598782149,62.0,2021
Peer-to-peer payments,1,lakshadweep,48590864.56835763,7913.0,2022
Recharge & bill payments,1,lakshadweep,2322580.1695599537,5334.0,2022
Merchant payments,1,lakshadweep,3838358.3586293925,3048.0,2022
Financial Services,1,lakshadweep,38274.22628876488,39.0,2022
Others,1,lakshadweep,149355.3310943247,63.0,2022
Peer-to-peer payments,2,lakshadweep,48451728.04746901,8491.0,2022
Recharge & bill payments,2,lakshadweep,2386144.714677198,5366.0,2022
Merchant payments,2,lakshadweep,4895657.060086848,3602.0,2022
Financial Services,2,lakshadweep,87127.8249489804,59.0,2022
Others,2,lakshadweep,108944.34272364664,51.0,2022
Peer-to-peer payments,3,lakshadweep,40029003.82575238,7533.0,2022
Recharge & bill payments,3,lakshadweep,1936538.3067545425,4441.0,2022
Merchant payments,3,lakshadweep,5469200.646094429,3142.0,2022
Financial Services,3,lakshadweep,63629.88416689246,64.0,2022
Others,3,lakshadweep,81636.9547320153,61.0,2022
Peer-to-peer payments,4,lakshadweep,47450386.0033243,8686.0,2022
Recharge & bill payments,4,lakshadweep,2024739.1542023947,4557.0,2022
Merchant payments,4,lakshadweep,5250991.002376802,3819.0,2022
Financial Services,4,lakshadweep,26453.0247779254,35.0,2022
Others,4,lakshadweep,61304.43025482374,50.0,2022
Recharge & bill payments,1,madhya-pradesh,667057311.4560372,4404190.0,2018
Peer-to-peer payments,1,madhya-pradesh,7590790588.551904,2848290.0,2018
Financial Services,1,madhya-pradesh,43374288.983730234,230519.0,2018
Merchant payments,1,madhya-pradesh,170119673.712754,196394.0,2018
Others,1,madhya-pradesh,210261540.7414958,346002.0,2018
Recharge & bill payments,2,madhya-pradesh,1132090445.890336,5324535.0,2018
Peer-to-peer payments,2,madhya-pradesh,14155603482.49263,4269392.0,2018
Merchant payments,2,madhya-pradesh,339308203.1707404,397135.0,2018
Financial Services,2,madhya-pradesh,53860331.80574275,305553.0,2018
Others,2,madhya-pradesh,243218603.3198562,264797.0,2018
Peer-to-peer payments,3,madhya-pradesh,22057686208.544342,9988509.0,2018
Recharge & bill payments,3,madhya-pradesh,1367773856.675655,5733261.0,2018
Merchant payments,3,madhya-pradesh,465390819.59013355,784995.0,2018
Financial Services,3,madhya-pradesh,46120458.63885435,359440.0,2018
Others,3,madhya-pradesh,212770861.2234169,260780.0,2018
Peer-to-peer payments,4,madhya-pradesh,30897348664.90544,11456555.0,2018
Recharge & bill payments,4,madhya-pradesh,1669345516.941368,7273502.0,2018
Merchant payments,4,madhya-pradesh,1036249753.927803,2056426.0,2018
Financial Services,4,madhya-pradesh,43367243.154430926,313540.0,2018
Others,4,madhya-pradesh,259296894.0382775,297532.0,2018
Peer-to-peer payments,1,madhya-pradesh,44114206183.09186,23708825.0,2019
Recharge & bill payments,1,madhya-pradesh,2423593841.716142,9966905.0,2019
Merchant payments,1,madhya-pradesh,1263699222.350108,3018928.0,2019
Financial Services,1,madhya-pradesh,28901169.29249904,290838.0,2019
Others,1,madhya-pradesh,239879105.5972368,315553.0,2019
Peer-to-peer payments,2,madhya-pradesh,61758841793.87666,20868744.0,2019
Recharge & bill payments,2,madhya-pradesh,3571897178.303101,12044969.0,2019
Merchant payments,2,madhya-pradesh,2671155681.449155,7331352.0,2019
Financial Services,2,madhya-pradesh,18869661.51348576,149197.0,2019
Others,2,madhya-pradesh,313802065.4154737,451751.0,2019
Peer-to-peer payments,3,madhya-pradesh,67648107703.0357,22631038.0,2019
Merchant payments,3,madhya-pradesh,5147459307.101742,17163551.0,2019
Recharge & bill payments,3,madhya-pradesh,4576521609.4608345,13156616.0,2019
Financial Services,3,madhya-pradesh,25654168.60092132,192821.0,2019
Others,3,madhya-pradesh,278578703.0441117,466385.0,2019
Peer-to-peer payments,4,madhya-pradesh,92064471161.9892,32083162.0,2019
Merchant payments,4,madhya-pradesh,7304157801.612935,19447707.0,2019
Recharge & bill payments,4,madhya-pradesh,5104821720.999017,16081734.0,2019
Financial Services,4,madhya-pradesh,24020060.93213319,127116.0,2019
Others,4,madhya-pradesh,190456045.32494444,392270.0,2019
Peer-to-peer payments,1,madhya-pradesh,110325991607.3847,34540722.0,2020
Merchant payments,1,madhya-pradesh,9898242848.257929,24618074.0,2020
Recharge & bill payments,1,madhya-pradesh,6311610609.846225,19788516.0,2020
Financial Services,1,madhya-pradesh,30645714.401902907,68055.0,2020
Others,1,madhya-pradesh,170790656.3033978,351379.0,2020
Peer-to-peer payments,2,madhya-pradesh,128184693854.7977,34860958.0,2020
Recharge & bill payments,2,madhya-pradesh,8904067957.012121,27497528.0,2020
Merchant payments,2,madhya-pradesh,10666223053.63472,13685723.0,2020
Financial Services,2,madhya-pradesh,62073621.44351514,80988.0,2020
Others,2,madhya-pradesh,104956802.1743797,215376.0,2020
Peer-to-peer payments,3,madhya-pradesh,174978985034.2865,50871564.0,2020
Merchant payments,3,madhya-pradesh,20621273981.659657,31879804.0,2020
Recharge & bill payments,3,madhya-pradesh,9834190567.205517,25380467.0,2020
Financial Services,3,madhya-pradesh,122971108.0706019,131725.0,2020
Others,3,madhya-pradesh,144259293.3158339,316321.0,2020
Peer-to-peer payments,4,madhya-pradesh,235584201864.2234,67972167.0,2020
Merchant payments,4,madhya-pradesh,37315576877.14569,57707471.0,2020
Recharge & bill payments,4,madhya-pradesh,10977774483.32556,27335834.0,2020
Financial Services,4,madhya-pradesh,132590450.0707424,149532.0,2020
Others,4,madhya-pradesh,264996097.6059612,487537.0,2020
Merchant payments,1,madhya-pradesh,50098244499.506615,84812245.0,2021
Peer-to-peer payments,1,madhya-pradesh,279938170703.8171,84070625.0,2021
Recharge & bill payments,1,madhya-pradesh,13060914041.0394,32500681.0,2021
Financial Services,1,madhya-pradesh,161838389.7954778,169378.0,2021
Others,1,madhya-pradesh,274786748.1299523,445569.0,2021
Peer-to-peer payments,2,madhya-pradesh,348935762191.1048,99367521.0,2021
Merchant payments,2,madhya-pradesh,58839392449.9937,77113464.0,2021
Recharge & bill payments,2,madhya-pradesh,17230546398.84866,46118636.0,2021
Financial Services,2,madhya-pradesh,177313389.66602692,188726.0,2021
Others,2,madhya-pradesh,317753606.0115695,526333.0,2021
Merchant payments,3,madhya-pradesh,85885669792.43228,138433772.0,2021
Peer-to-peer payments,3,madhya-pradesh,398912712886.4574,127654821.0,2021
Recharge & bill payments,3,madhya-pradesh,19025346050.62772,44437315.0,2021
Financial Services,3,madhya-pradesh,180366422.5824598,174454.0,2021
Others,3,madhya-pradesh,408508699.4365407,742972.0,2021
Merchant payments,4,madhya-pradesh,126461098235.02321,197193842.0,2021
Peer-to-peer payments,4,madhya-pradesh,507118521843.3588,159649020.0,2021
Recharge & bill payments,4,madhya-pradesh,22492766779.15663,46220966.0,2021
Financial Services,4,madhya-pradesh,246488171.3779264,247925.0,2021
Others,4,madhya-pradesh,568617375.5894115,996331.0,2021
Merchant payments,1,madhya-pradesh,143310226696.7226,237691924.0,2022
Peer-to-peer payments,1,madhya-pradesh,578201697703.7521,185008444.0,2022
Recharge & bill payments,1,madhya-pradesh,25437774564.26215,48870314.0,2022
Financial Services,1,madhya-pradesh,219927120.15944028,222923.0,2022
Others,1,madhya-pradesh,495513514.75128734,909453.0,2022
Merchant payments,2,madhya-pradesh,174183397721.35928,287616385.0,2022
Peer-to-peer payments,2,madhya-pradesh,663180522499.3412,202093283.0,2022
Recharge & bill payments,2,madhya-pradesh,29125694281.81933,54318983.0,2022
Financial Services,2,madhya-pradesh,153944499.7449031,157672.0,2022
Others,2,madhya-pradesh,381178326.3209058,713506.0,2022
Merchant payments,3,madhya-pradesh,212445928287.3991,391105651.0,2022
Peer-to-peer payments,3,madhya-pradesh,780650402034.3962,267013695.0,2022
Recharge & bill payments,3,madhya-pradesh,39132574047.51802,72148870.0,2022
Financial Services,3,madhya-pradesh,236981163.63162848,240678.0,2022
Others,3,madhya-pradesh,442608716.71893203,750665.0,2022
Merchant payments,4,madhya-pradesh,272801597092.4764,492999084.0,2022
Peer-to-peer payments,4,madhya-pradesh,984255199293.6544,325467851.0,2022
Recharge & bill payments,4,madhya-pradesh,45143248068.817345,79289399.0,2022
Financial Services,4,madhya-pradesh,278304972.6470296,286931.0,2022
Others,4,madhya-pradesh,521508120.7286146,785003.0,2022
Recharge & bill payments,1,maharashtra,2283567431.2235346,9670237.0,2018
Peer-to-peer payments,1,maharashtra,18283896464.7509,5227770.0,2018
Merchant payments,1,maharashtra,576964070.7366859,616779.0,2018
Financial Services,1,maharashtra,60997258.06029972,235051.0,2018
Others,1,maharashtra,506188032.9539564,637197.0,2018
Recharge & bill payments,2,maharashtra,3725800358.6814823,12384216.0,2018
Peer-to-peer payments,2,maharashtra,30782831245.6586,7772336.0,2018
Merchant payments,2,maharashtra,1226121649.498959,1306326.0,2018
Financial Services,2,maharashtra,85545909.43528841,262875.0,2018
Others,2,maharashtra,536758077.84638786,559987.0,2018
Recharge & bill payments,3,maharashtra,4547486090.186737,14371791.0,2018
Peer-to-peer payments,3,maharashtra,45466534003.980484,13470065.0,2018
Merchant payments,3,maharashtra,1702220875.434385,2797204.0,2018
Financial Services,3,maharashtra,52348968.006728604,234598.0,2018
Others,3,maharashtra,492227795.6386977,664880.0,2018
Peer-to-peer payments,4,maharashtra,68974011019.10294,20824667.0,2018
Recharge & bill payments,4,maharashtra,5860865070.470685,18071025.0,2018
Merchant payments,4,maharashtra,3985195742.248014,6047705.0,2018
Financial Services,4,maharashtra,77345546.53012432,325121.0,2018
Others,4,maharashtra,621519669.4818641,821705.0,2018
Peer-to-peer payments,1,maharashtra,97373087988.0887,37360716.0,2019
Recharge & bill payments,1,maharashtra,8256500586.651281,24540041.0,2019
Merchant payments,1,maharashtra,5172594695.5318,12069119.0,2019
Financial Services,1,maharashtra,49487746.20873056,287569.0,2019
Others,1,maharashtra,569019903.8604957,821624.0,2019
Peer-to-peer payments,2,maharashtra,130558153687.95421,42546317.0,2019
Recharge & bill payments,2,maharashtra,12197234771.43427,29395661.0,2019
Merchant payments,2,maharashtra,9728561726.767143,27854042.0,2019
Financial Services,2,maharashtra,45291636.105074815,182840.0,2019
Others,2,maharashtra,765228265.7976472,1170993.0,2019
Peer-to-peer payments,3,maharashtra,165731686168.55753,57991699.0,2019
Merchant payments,3,maharashtra,17545729507.39597,54683738.0,2019
Recharge & bill payments,3,maharashtra,15471698543.73959,34309301.0,2019
Financial Services,3,maharashtra,54108447.39407451,231467.0,2019
Others,3,maharashtra,814284077.8637519,1519376.0,2019
Merchant payments,4,maharashtra,27209874138.487553,80127804.0,2019
Peer-to-peer payments,4,maharashtra,227268054757.21692,78795871.0,2019
Recharge & bill payments,4,maharashtra,17794666215.04444,40705998.0,2019
Financial Services,4,maharashtra,49622863.824426055,129755.0,2019
Others,4,maharashtra,672210824.9770112,1501192.0,2019
Merchant payments,1,maharashtra,35200130304.82776,100337738.0,2020
Peer-to-peer payments,1,maharashtra,262541205695.8384,87067410.0,2020
Recharge & bill payments,1,maharashtra,21603565070.425602,50199498.0,2020
Financial Services,1,maharashtra,91363684.1276232,123476.0,2020
Others,1,maharashtra,558931962.876125,1215959.0,2020
Peer-to-peer payments,2,maharashtra,239933338682.6934,74295930.0,2020
Recharge & bill payments,2,maharashtra,23112343247.416138,60856480.0,2020
Merchant payments,2,maharashtra,32859184582.21904,48965388.0,2020
Financial Services,2,maharashtra,211733275.7829895,206461.0,2020
Others,2,maharashtra,242917371.3033281,466502.0,2020
Peer-to-peer payments,3,maharashtra,351555554813.2122,108436214.0,2020
Merchant payments,3,maharashtra,60171102123.94888,100808237.0,2020
Recharge & bill payments,3,maharashtra,27915727882.59293,58082283.0,2020
Financial Services,3,maharashtra,333669599.6188361,325453.0,2020
Others,3,maharashtra,331024593.0721529,658737.0,2020
Merchant payments,4,maharashtra,103804638603.7461,189845640.0,2020
Peer-to-peer payments,4,maharashtra,485747881733.82294,151741840.0,2020
Recharge & bill payments,4,maharashtra,31556917821.77767,64556682.0,2020
Financial Services,4,maharashtra,418399992.53957707,398409.0,2020
Others,4,maharashtra,627692680.4078207,1078433.0,2020
Merchant payments,1,maharashtra,129493046208.1572,253043309.0,2021
Peer-to-peer payments,1,maharashtra,599213284361.7993,187021609.0,2021
Recharge & bill payments,1,maharashtra,40057211827.159615,76389103.0,2021
Financial Services,1,maharashtra,492900202.6831521,439551.0,2021
Others,1,maharashtra,630909553.4508264,966668.0,2021
Merchant payments,2,maharashtra,150864465217.023,247194293.0,2021
Peer-to-peer payments,2,maharashtra,719859665693.5271,228551961.0,2021
Recharge & bill payments,2,maharashtra,43154405548.44597,96271138.0,2021
Financial Services,2,maharashtra,536780917.03591573,504252.0,2021
Others,2,maharashtra,699738247.6695637,1094842.0,2021
Merchant payments,3,maharashtra,216701984638.98932,390051884.0,2021
Peer-to-peer payments,3,maharashtra,890860873379.5576,296951706.0,2021
Recharge & bill payments,3,maharashtra,50242023586.05604,103943973.0,2021
Financial Services,3,maharashtra,579098938.658318,448646.0,2021
Others,3,maharashtra,873324624.1826177,1477851.0,2021
Merchant payments,4,maharashtra,305512280091.4157,540351277.0,2021
Peer-to-peer payments,4,maharashtra,1109862480618.222,361865450.0,2021
Recharge & bill payments,4,maharashtra,58087950922.43887,105990417.0,2021
Financial Services,4,maharashtra,707102765.3058928,606265.0,2021
Others,4,maharashtra,1188658731.117536,1918093.0,2021
Merchant payments,1,maharashtra,340240479374.3683,646277671.0,2022
Peer-to-peer payments,1,maharashtra,1274889182430.209,411989717.0,2022
Recharge & bill payments,1,maharashtra,64507860103.55089,108896881.0,2022
Financial Services,1,maharashtra,677612619.2786882,583243.0,2022
Others,1,maharashtra,1084139453.7274752,1758926.0,2022
Merchant payments,2,maharashtra,428469294407.1603,810961772.0,2022
Peer-to-peer payments,2,maharashtra,1501201968773.811,470258043.0,2022
Recharge & bill payments,2,maharashtra,75110969246.16316,124280427.0,2022
Financial Services,2,maharashtra,559321829.4503716,490152.0,2022
Others,2,maharashtra,930827919.3035389,1542719.0,2022
Merchant payments,3,maharashtra,432250721734.13074,876618082.0,2022
Peer-to-peer payments,3,maharashtra,1434565548650.913,483481713.0,2022
Recharge & bill payments,3,maharashtra,79360150487.36568,124545840.0,2022
Financial Services,3,maharashtra,571583115.6687979,521362.0,2022
Others,3,maharashtra,831183386.4681726,1222420.0,2022
Merchant payments,4,maharashtra,502660888415.46185,1025666187.0,2022
Peer-to-peer payments,4,maharashtra,1622619308526.9612,535142126.0,2022
Recharge & bill payments,4,maharashtra,83576414221.03232,126118544.0,2022
Financial Services,4,maharashtra,699276779.1906543,620124.0,2022
Others,4,maharashtra,914951674.4842073,1228291.0,2022
Recharge & bill payments,1,manipur,6463184.554711691,50212.0,2018
Peer-to-peer payments,1,manipur,115495173.5579644,26382.0,2018
Financial Services,1,manipur,412579.53985461866,2660.0,2018
Merchant payments,1,manipur,3616475.6407912206,1614.0,2018
Others,1,manipur,2058760.6368871084,3201.0,2018
Recharge & bill payments,2,manipur,11541247.78442091,77991.0,2018
Peer-to-peer payments,2,manipur,232157389.79148027,60365.0,2018
Financial Services,2,manipur,1241901.2660397931,5992.0,2018
Merchant payments,2,manipur,5366759.827729835,4041.0,2018
Others,2,manipur,2902422.6498233806,3332.0,2018
Peer-to-peer payments,3,manipur,357768750.1845896,95204.0,2018
Recharge & bill payments,3,manipur,13912990.484925142,81323.0,2018
Merchant payments,3,manipur,9180953.977358334,7396.0,2018
Financial Services,3,manipur,333081.6368315,2577.0,2018
Others,3,manipur,2135468.510417797,2758.0,2018
Recharge & bill payments,4,manipur,18898063.28238317,113507.0,2018
Peer-to-peer payments,4,manipur,562009595.9601889,104872.0,2018
Merchant payments,4,manipur,20685433.284307167,13333.0,2018
Financial Services,4,manipur,307325.2437723951,1452.0,2018
Others,4,manipur,3783141.5353601985,2946.0,2018
Peer-to-peer payments,1,manipur,619919870.7455351,127067.0,2019
Recharge & bill payments,1,manipur,22106830.36914923,120000.0,2019
Merchant payments,1,manipur,14580183.380707521,15190.0,2019
Financial Services,1,manipur,174777.17283837448,800.0,2019
Others,1,manipur,3116398.755848917,2352.0,2019
Peer-to-peer payments,2,manipur,679785849.1398684,120153.0,2019
Recharge & bill payments,2,manipur,23573234.27306028,116500.0,2019
Merchant payments,2,manipur,15996651.145700552,18044.0,2019
Financial Services,2,manipur,91955.01538259834,387.0,2019
Others,2,manipur,3342252.5754885403,2341.0,2019
Recharge & bill payments,3,manipur,36634657.049143404,180057.0,2019
Peer-to-peer payments,3,manipur,803335616.6325191,144965.0,2019
Merchant payments,3,manipur,20490224.44304125,17683.0,2019
Financial Services,3,manipur,367865.7884662621,358.0,2019
Others,3,manipur,2723638.649764262,1945.0,2019
Recharge & bill payments,4,manipur,44202546.5739608,212136.0,2019
Peer-to-peer payments,4,manipur,1123258478.445069,211927.0,2019
Merchant payments,4,manipur,30486780.44638214,23094.0,2019
Financial Services,4,manipur,240641.7657683481,548.0,2019
Others,4,manipur,2709234.857456133,1639.0,2019
Peer-to-peer payments,1,manipur,2458093401.740467,451733.0,2020
Recharge & bill payments,1,manipur,62688260.37954809,285234.0,2020
Merchant payments,1,manipur,74202067.0664826,78067.0,2020
Financial Services,1,manipur,354184.4660589617,622.0,2020
Others,1,manipur,3252467.2243867153,3145.0,2020
Peer-to-peer payments,2,manipur,2980242535.0754433,533206.0,2020
Recharge & bill payments,2,manipur,107589094.2989046,450830.0,2020
Merchant payments,2,manipur,106540409.2988668,92110.0,2020
Financial Services,2,manipur,1457570.8004862315,1676.0,2020
Others,2,manipur,3106603.331810386,5246.0,2020
Peer-to-peer payments,3,manipur,4301284799.331292,774786.0,2020
Recharge & bill payments,3,manipur,113190539.1496906,464659.0,2020
Merchant payments,3,manipur,195132026.6311202,170653.0,2020
Financial Services,3,manipur,1593035.944066228,1878.0,2020
Others,3,manipur,4775719.8143366445,8192.0,2020
Peer-to-peer payments,4,manipur,5172499337.5304365,892853.0,2020
Recharge & bill payments,4,manipur,114202616.34869759,436450.0,2020
Merchant payments,4,manipur,307902115.3820773,289050.0,2020
Financial Services,4,manipur,2448402.9142817147,1806.0,2020
Others,4,manipur,5172086.283260544,7693.0,2020
Peer-to-peer payments,1,manipur,6402367883.667422,1117829.0,2021
Recharge & bill payments,1,manipur,223955812.5864439,796590.0,2021
Merchant payments,1,manipur,433297594.1352152,377280.0,2021
Financial Services,1,manipur,4385333.1754908115,3398.0,2021
Others,1,manipur,6280890.914669826,8438.0,2021
Peer-to-peer payments,2,manipur,7041837917.785187,1372821.0,2021
Recharge & bill payments,2,manipur,305103750.5728581,1187952.0,2021
Merchant payments,2,manipur,531484849.4914169,510734.0,2021
Financial Services,2,manipur,4256098.232237183,4165.0,2021
Others,2,manipur,7145346.314942012,10603.0,2021
Peer-to-peer payments,3,manipur,9134806594.528189,1819423.0,2021
Recharge & bill payments,3,manipur,367664440.5323726,1368584.0,2021
Merchant payments,3,manipur,889317377.086526,735707.0,2021
Financial Services,3,manipur,5625517.975461649,3460.0,2021
Others,3,manipur,9447098.78230339,14222.0,2021
Peer-to-peer payments,4,manipur,10998828287.529041,2199970.0,2021
Recharge & bill payments,4,manipur,412791673.80376637,1451488.0,2021
Merchant payments,4,manipur,1229517397.456187,1013985.0,2021
Financial Services,4,manipur,5941100.580610943,4671.0,2021
Others,4,manipur,11393578.84222715,17325.0,2021
Peer-to-peer payments,1,manipur,12169368063.4095,2517626.0,2022
Recharge & bill payments,1,manipur,469035958.3484127,1528476.0,2022
Merchant payments,1,manipur,1489604137.209088,1247205.0,2022
Financial Services,1,manipur,6057615.527015026,4878.0,2022
Others,1,manipur,10435303.87979853,15494.0,2022
Peer-to-peer payments,2,manipur,12704512238.8096,2843426.0,2022
Merchant payments,2,manipur,1757831052.0706978,1709547.0,2022
Recharge & bill payments,2,manipur,448637966.718931,1533778.0,2022
Financial Services,2,manipur,4753628.558008127,4069.0,2022
Others,2,manipur,7175748.992065379,14812.0,2022
Peer-to-peer payments,3,manipur,12927705072.13747,3127266.0,2022
Merchant payments,3,manipur,2010460357.0881658,1829741.0,2022
Recharge & bill payments,3,manipur,432182393.8403873,1379911.0,2022
Financial Services,3,manipur,4671353.405444902,4524.0,2022
Others,3,manipur,6411090.828254536,11300.0,2022
Peer-to-peer payments,4,manipur,13133729481.472109,3259645.0,2022
Merchant payments,4,manipur,2074698993.4220653,1828984.0,2022
Recharge & bill payments,4,manipur,406031254.0798015,1325391.0,2022
Financial Services,4,manipur,5754919.963910458,4691.0,2022
Others,4,manipur,5742049.403589871,9959.0,2022
Recharge & bill payments,1,meghalaya,6028476.149090356,31857.0,2018
Peer-to-peer payments,1,meghalaya,55943496.515886314,13274.0,2018
Merchant payments,1,meghalaya,2395888.4397623385,1605.0,2018
Financial Services,1,meghalaya,144318.2545571151,532.0,2018
Others,1,meghalaya,1738080.43060439,2303.0,2018
Recharge & bill payments,2,meghalaya,9657896.164724296,42625.0,2018
Peer-to-peer payments,2,meghalaya,101140464.66239841,19894.0,2018
Merchant payments,2,meghalaya,3663446.436220131,2929.0,2018
Financial Services,2,meghalaya,580648.3434132106,592.0,2018
Others,2,meghalaya,1962212.2350756058,1817.0,2018
Recharge & bill payments,3,meghalaya,14231601.45337125,60625.0,2018
Peer-to-peer payments,3,meghalaya,187460582.0575471,40832.0,2018
Merchant payments,3,meghalaya,5458930.689379572,5802.0,2018
