Place Name,Quarter,State,Total Amount,Total Transactions count,Year
chittoor district,1,andhra-pradesh,8223371732.233584,6486813.0,2019
guntur district,1,andhra-pradesh,7765934169.404485,4846553.0,2019
krishna district,1,andhra-pradesh,9061346433.07268,5443981.0,2019
east godavari district,2,andhra-pradesh,9116404622.476511,4699261.0,2019
srikakulam district,2,andhra-pradesh,4066576539.9368386,2019203.0,2019
spsr nellore district,2,andhra-pradesh,6880873007.482059,3141891.0,2019
vizianagaram district,2,andhra-pradesh,4443041665.039663,2272320.0,2019
visakhapatnam district,2,andhra-pradesh,20797479804.02907,11705738.0,2019
prakasam district,2,andhra-pradesh,6262396448.455349,2670529.0,2019
anantapur district,2,andhra-pradesh,7830782361.377665,3578836.0,2019
ysr district,2,andhra-pradesh,6376856828.130631,2606284.0,2019
west godavari district,2,andhra-pradesh,5676818258.955046,2402074.0,2019
kurnool district,2,andhra-pradesh,7358285187.018034,3895824.0,2019
chittoor district,2,andhra-pradesh,10982727976.22432,5983308.0,2019
guntur district,2,andhra-pradesh,10405246943.48149,5005275.0,2019
krishna district,2,andhra-pradesh,13437029115.62075,6428472.0,2019
east godavari district,3,andhra-pradesh,11387726470.57774,6537303.0,2019
srikakulam district,3,andhra-pradesh,4610131289.524039,2556296.0,2019
spsr nellore district,3,andhra-pradesh,8256600118.735449,4150195.0,2019
vizianagaram district,3,andhra-pradesh,4922069039.192161,2861581.0,2019
visakhapatnam district,3,andhra-pradesh,26944837120.04628,16694947.0,2019
prakasam district,3,andhra-pradesh,7354502261.15091,3430750.0,2019
anantapur district,3,andhra-pradesh,9554081289.488277,4889720.0,2019
ysr district,3,andhra-pradesh,7447544274.211781,3296586.0,2019
west godavari district,3,andhra-pradesh,6627629029.014131,3179541.0,2019
kurnool district,3,andhra-pradesh,9025632779.412457,5139134.0,2019
chittoor district,3,andhra-pradesh,13837455758.755262,8201783.0,2019
guntur district,3,andhra-pradesh,13075661264.18803,6942304.0,2019
krishna district,3,andhra-pradesh,16404073560.50078,8408474.0,2019
east godavari district,4,andhra-pradesh,16816774065.30131,9285739.0,2019
srikakulam district,4,andhra-pradesh,6832369301.879346,3712555.0,2019
spsr nellore district,4,andhra-pradesh,11786014089.19402,5877804.0,2019
vizianagaram district,4,andhra-pradesh,7175851807.068796,3998234.0,2019
visakhapatnam district,4,andhra-pradesh,39133296330.044624,23594874.0,2019
prakasam district,4,andhra-pradesh,10604077824.801031,4865473.0,2019
anantapur district,4,andhra-pradesh,13887248889.06406,6764112.0,2019
ysr district,4,andhra-pradesh,10865073855.73078,4793157.0,2019
west godavari district,4,andhra-pradesh,9710614747.20177,4596479.0,2019
kurnool district,4,andhra-pradesh,13233105728.54823,7001958.0,2019
chittoor district,4,andhra-pradesh,19298476027.87548,11246986.0,2019
guntur district,4,andhra-pradesh,18565626418.03591,9761330.0,2019
krishna district,4,andhra-pradesh,23039786404.046642,11719402.0,2019
east godavari district,1,andhra-pradesh,21854701379.428677,11346242.0,2020
srikakulam district,1,andhra-pradesh,9777575594.177538,4835092.0,2020
spsr nellore district,1,andhra-pradesh,15387829694.446861,7430247.0,2020
vizianagaram district,1,andhra-pradesh,9879174240.920494,5042066.0,2020
visakhapatnam district,1,andhra-pradesh,48809747614.67889,27115031.0,2020
prakasam district,1,andhra-pradesh,14169104764.52673,6318396.0,2020
anantapur district,1,andhra-pradesh,17864325752.82528,8466129.0,2020
ysr district,1,andhra-pradesh,14059924636.81991,6031255.0,2020
west godavari district,1,andhra-pradesh,12995834340.71623,5919670.0,2020
kurnool district,1,andhra-pradesh,17022710311.81304,8246869.0,2020
chittoor district,1,andhra-pradesh,23441848567.34419,13257740.0,2020
guntur district,1,andhra-pradesh,22992734620.64621,11493331.0,2020
krishna district,1,andhra-pradesh,24481702770.71471,12175289.0,2020
east godavari district,2,andhra-pradesh,26319906327.32029,13130334.0,2020
srikakulam district,2,andhra-pradesh,12153650076.87583,6425515.0,2020
spsr nellore district,2,andhra-pradesh,20665376460.772232,9454274.0,2020
vizianagaram district,2,andhra-pradesh,12819344389.54538,6690313.0,2020
visakhapatnam district,2,andhra-pradesh,48293889917.414375,25300401.0,2020
prakasam district,2,andhra-pradesh,19846026726.90433,8844580.0,2020
anantapur district,2,andhra-pradesh,22094006659.412502,10473739.0,2020
ysr district,2,andhra-pradesh,19597207268.13202,8033609.0,2020
west godavari district,2,andhra-pradesh,16585866855.15978,7273096.0,2020
kurnool district,2,andhra-pradesh,22419372061.805172,9821381.0,2020
chittoor district,2,andhra-pradesh,27361300300.01902,14848197.0,2020
guntur district,2,andhra-pradesh,27463593607.839104,12308707.0,2020
krishna district,2,andhra-pradesh,26964149095.36629,12313709.0,2020
east godavari district,3,andhra-pradesh,39300043804.758514,17972431.0,2020
srikakulam district,3,andhra-pradesh,18029574581.33742,8286289.0,2020
spsr nellore district,3,andhra-pradesh,39128324534.03022,16468209.0,2020
vizianagaram district,3,andhra-pradesh,17567816576.50126,8236703.0,2020
visakhapatnam district,3,andhra-pradesh,67628440368.111465,34421299.0,2020
prakasam district,3,andhra-pradesh,31221704852.44969,12266310.0,2020
anantapur district,3,andhra-pradesh,34102037972.657852,14447683.0,2020
ysr district,3,andhra-pradesh,32037007334.12973,11934653.0,2020
west godavari district,3,andhra-pradesh,25408608725.75429,10412351.0,2020
kurnool district,3,andhra-pradesh,32529351107.17173,13243292.0,2020
chittoor district,3,andhra-pradesh,42811566246.16463,20501863.0,2020
guntur district,3,andhra-pradesh,42531195809.75448,17601395.0,2020
krishna district,3,andhra-pradesh,44788458672.084435,19110457.0,2020
east godavari district,4,andhra-pradesh,58732615663.118416,25989490.0,2020
srikakulam district,4,andhra-pradesh,25222520275.27882,11092184.0,2020
spsr nellore district,4,andhra-pradesh,49115443663.37911,20934374.0,2020
vizianagaram district,4,andhra-pradesh,24094847668.44506,10580824.0,2020
visakhapatnam district,4,andhra-pradesh,91879823025.40399,46551467.0,2020
prakasam district,4,andhra-pradesh,41852443493.51539,16176867.0,2020
anantapur district,4,andhra-pradesh,49732610814.26222,20996384.0,2020
ysr district,4,andhra-pradesh,42572974713.44026,15676878.0,2020
west godavari district,4,andhra-pradesh,40310975762.603455,15674762.0,2020
kurnool district,4,andhra-pradesh,44718203115.22612,18737323.0,2020
chittoor district,4,andhra-pradesh,61505711149.79541,29590411.0,2020
guntur district,4,andhra-pradesh,60641872021.254326,26136538.0,2020
krishna district,4,andhra-pradesh,64461504667.60723,27981050.0,2020
east godavari district,1,andhra-pradesh,60027984987.969505,26190701.0,2021
srikakulam district,1,andhra-pradesh,26486623313.092724,11160473.0,2021
spsr nellore district,1,andhra-pradesh,52210333201.53073,22541428.0,2021
vizianagaram district,1,andhra-pradesh,24153782497.24324,10514582.0,2021
visakhapatnam district,1,andhra-pradesh,95308386037.84721,48248923.0,2021
prakasam district,1,andhra-pradesh,41396223622.17477,15175395.0,2021
anantapur district,1,andhra-pradesh,48353870395.01808,20102957.0,2021
ysr district,1,andhra-pradesh,42570919448.50447,15374473.0,2021
west godavari district,1,andhra-pradesh,42124030669.36126,16015685.0,2021
kurnool district,1,andhra-pradesh,44941629659.56964,17918524.0,2021
chittoor district,1,andhra-pradesh,60947491846.66089,29342609.0,2021
guntur district,1,andhra-pradesh,64207987853.1084,27445045.0,2021
krishna district,1,andhra-pradesh,69715406644.53485,29717175.0,2021
east godavari district,2,andhra-pradesh,74604325863.66068,31717908.0,2021
srikakulam district,2,andhra-pradesh,32298129544.54086,13546232.0,2021
spsr nellore district,2,andhra-pradesh,72283071757.09679,30290406.0,2021
vizianagaram district,2,andhra-pradesh,29140685236.830723,12689494.0,2021
visakhapatnam district,2,andhra-pradesh,114439012713.3533,54390299.0,2021
prakasam district,2,andhra-pradesh,54535328043.04135,19944047.0,2021
anantapur district,2,andhra-pradesh,60987487571.27991,25123346.0,2021
ysr district,2,andhra-pradesh,52523527031.021324,18457361.0,2021
west godavari district,2,andhra-pradesh,57233116236.187965,20950964.0,2021
kurnool district,2,andhra-pradesh,56659287474.9958,21972396.0,2021
chittoor district,2,andhra-pradesh,73654690122.43158,34344902.0,2021
guntur district,2,andhra-pradesh,82356914463.83287,32968819.0,2021
krishna district,2,andhra-pradesh,90021923049.96454,36370960.0,2021
east godavari district,3,andhra-pradesh,89380370072.7078,39572714.0,2021
srikakulam district,3,andhra-pradesh,34836400769.87681,15639768.0,2021
spsr nellore district,3,andhra-pradesh,77839676988.30869,34411958.0,2021
vizianagaram district,3,andhra-pradesh,31383541628.21252,14510005.0,2021
visakhapatnam district,3,andhra-pradesh,136945652159.2651,69220981.0,2021
prakasam district,3,andhra-pradesh,63367713446.92805,24116580.0,2021
anantapur district,3,andhra-pradesh,70291248155.64975,30366444.0,2021
ysr district,3,andhra-pradesh,60683557724.65233,22439316.0,2021
west godavari district,3,andhra-pradesh,66647238455.1675,26245039.0,2021
kurnool district,3,andhra-pradesh,62527453761.598076,26377809.0,2021
chittoor district,3,andhra-pradesh,89371931753.04831,42628568.0,2021
guntur district,3,andhra-pradesh,96525353090.12306,41675093.0,2021
krishna district,3,andhra-pradesh,104417897558.5897,44828275.0,2021
east godavari district,4,andhra-pradesh,106725597026.00351,48992531.0,2021
srikakulam district,4,andhra-pradesh,39713657870.15512,18501857.0,2021
spsr nellore district,4,andhra-pradesh,92256405076.26547,41921081.0,2021
vizianagaram district,4,andhra-pradesh,36577529464.968704,17253059.0,2021
visakhapatnam district,4,andhra-pradesh,159530099772.73468,82711538.0,2021
prakasam district,4,andhra-pradesh,71323060008.47623,27858275.0,2021
anantapur district,4,andhra-pradesh,81239787006.64764,36129136.0,2021
ysr district,4,andhra-pradesh,69081850069.2033,26340348.0,2021
west godavari district,4,andhra-pradesh,81292461575.08183,33235175.0,2021
kurnool district,4,andhra-pradesh,73968947669.64754,31782248.0,2021
chittoor district,4,andhra-pradesh,103985734663.7351,51119640.0,2021
guntur district,4,andhra-pradesh,115553993673.1733,50919286.0,2021
