App Openings,Place Name,Quarter,Registered Users Count,State,Year
13681907.0,visakhapatnam district,2,1318740.0,andhra-pradesh,2019
4488365.0,prakasam district,2,539462.0,andhra-pradesh,2019
6056591.0,anantapur district,2,695114.0,andhra-pradesh,2019
6240480.0,kurnool district,2,680118.0,andhra-pradesh,2019
7268875.0,guntur district,2,915256.0,andhra-pradesh,2019
7822632.0,krishna district,2,952300.0,andhra-pradesh,2019
4774473.0,spsr nellore district,2,558303.0,andhra-pradesh,2019
3541678.0,vizianagaram district,2,355058.0,andhra-pradesh,2019
4345848.0,ysr district,2,519031.0,andhra-pradesh,2019
3853094.0,west godavari district,2,592185.0,andhra-pradesh,2019
8914216.0,chittoor district,2,925491.0,andhra-pradesh,2019
28275322.0,east godavari district,3,1057167.0,andhra-pradesh,2019
11813195.0,srikakulam district,3,437939.0,andhra-pradesh,2019
54836001.0,visakhapatnam district,3,1460464.0,andhra-pradesh,2019
16267041.0,prakasam district,3,598568.0,andhra-pradesh,2019
22845084.0,anantapur district,3,773656.0,andhra-pradesh,2019
22827473.0,kurnool district,3,755024.0,andhra-pradesh,2019
28477132.0,guntur district,3,1026418.0,andhra-pradesh,2019
30077671.0,krishna district,3,1066546.0,andhra-pradesh,2019
17768733.0,spsr nellore district,3,619592.0,andhra-pradesh,2019
13065845.0,vizianagaram district,3,394375.0,andhra-pradesh,2019
15833900.0,ysr district,3,574109.0,andhra-pradesh,2019
14227407.0,west godavari district,3,662102.0,andhra-pradesh,2019
34638738.0,chittoor district,3,1032733.0,andhra-pradesh,2019
38299189.0,east godavari district,4,1195228.0,andhra-pradesh,2019
16353822.0,srikakulam district,4,496266.0,andhra-pradesh,2019
70749983.0,visakhapatnam district,4,1620235.0,andhra-pradesh,2019
21639748.0,prakasam district,4,673522.0,andhra-pradesh,2019
30278539.0,anantapur district,4,873033.0,andhra-pradesh,2019
29676997.0,kurnool district,4,846885.0,andhra-pradesh,2019
37846179.0,guntur district,4,1158708.0,andhra-pradesh,2019
39407473.0,krishna district,4,1199971.0,andhra-pradesh,2019
23608360.0,spsr nellore district,4,697154.0,andhra-pradesh,2019
17515311.0,vizianagaram district,4,443810.0,andhra-pradesh,2019
21543798.0,ysr district,4,646642.0,andhra-pradesh,2019
19393528.0,west godavari district,4,750078.0,andhra-pradesh,2019
44888591.0,chittoor district,4,1156351.0,andhra-pradesh,2019
46142746.0,east godavari district,1,1329664.0,andhra-pradesh,2020
20975989.0,srikakulam district,1,552007.0,andhra-pradesh,2020
77558624.0,visakhapatnam district,1,1763581.0,andhra-pradesh,2020
26870693.0,prakasam district,1,748655.0,andhra-pradesh,2020
36900103.0,anantapur district,1,971850.0,andhra-pradesh,2020
34198350.0,kurnool district,1,936293.0,andhra-pradesh,2020
45282758.0,guntur district,1,1289678.0,andhra-pradesh,2020
46079408.0,krishna district,1,1331602.0,andhra-pradesh,2020
28879364.0,spsr nellore district,1,775440.0,andhra-pradesh,2020
21562104.0,vizianagaram district,1,490683.0,andhra-pradesh,2020
26166193.0,ysr district,1,717865.0,andhra-pradesh,2020
